Reaction,Equation
R1,2 cpd00022 --> cpd22528 + C00332
R2,C01144 + cpd00003 <-- C00332 + cpd00004 + cpd00067
R3,C01144 --> C00877 + cpd27222
R4,C00136 + cpd00003 <-- C00877 + cpd00004 + cpd00067
R5,C01412 + cpd22528 + cpd00003 <-- C00136 + cpd00004 + cpd00067
R6,C01412 + cpd00004 + cpd00067 --> C06142 + cpd00003
