Reaction,Equation
R1,pyr_c + coa_c + nad_c --> accoa_c + co2_c + nadh_c + h_c
R2,2 accoa_c --> coa_c + C00332
R3,C01144 + nad_c <-- C00332 + nadh_c + h_c
R4,C01144 --> C00877 + h2o_c
R5,C00136 + nad_c <-- C00877 + nadh_c + h_c
R6,C01412 + coa_c + nad_c <-- C00136 + nadh_c + h_c
R7,C01412 + nadh_c + h_c --> C06142 + nad_c
