,Pairs,source,target,Reaction
0,C00013_C00009,C00013,C00009,R00004
1,C00001_C00009,C00001,C00009,R00004
2,C01010_C00011,C01010,C00011,R00005
3,C01010_C00014,C01010,C00014,R00005
4,C00001_C00011,C00001,C00011,R00005
5,C00001_C00014,C00001,C00014,R00005
6,C00900_C00022,C00900,C00022,R00006
7,C00011_C00022,C00011,C00022,R00006
8,C06033_C00022,C06033,C00022,R00008
9,C00027_C00007,C00027,C00007,R00009
10,C00027_C00001,C00027,C00001,R00009
11,C01083_C00031,C01083,C00031,R00010
12,C00001_C00031,C00001,C00031,R00010
13,C19610_C19611,C19610,C19611,R00011
14,C19610_C00001,C19610,C00001,R00011
15,C00027_C19611,C00027,C19611,R00011
16,C00027_C00001,C00027,C00001,R00011
17,C00080_C19611,C00080,C19611,R00011
18,C00080_C00001,C00080,C00001,R00011
19,C00044_C00013,C00044,C00013,R00012
20,C00044_C01261,C00044,C01261,R00012
21,C00048_C01146,C00048,C01146,R00013
22,C00048_C00011,C00048,C00011,R00013
23,C00022_C05125,C00022,C05125,R00014
24,C00022_C00011,C00022,C00011,R00014
25,C00068_C05125,C00068,C05125,R00014
26,C00068_C00011,C00068,C00011,R00014
27,C00089_C00031,C00089,C00031,R00015
28,C00089_C03661,C00089,C03661,R00015
29,C00027_C00125,C00027,C00125,R00017
30,C00027_C00001,C00027,C00001,R00017
31,C00126_C00125,C00126,C00125,R00017
32,C00126_C00001,C00126,C00001,R00017
33,C00080_C00125,C00080,C00125,R00017
34,C00080_C00001,C00080,C00001,R00017
35,C00134_C06366,C00134,C06366,R00018
36,C00134_C00014,C00134,C00014,R00018
37,C00138_C00282,C00138,C00282,R00019
38,C00138_C00139,C00138,C00139,R00019
39,C00080_C00282,C00080,C00282,R00019
40,C00080_C00139,C00080,C00139,R00019
41,C00025_C00064,C00025,C00064,R00021
42,C00025_C00026,C00025,C00026,R00021
43,C00025_C00138,C00025,C00138,R00021
44,C00025_C00080,C00025,C00080,R00021
45,C00139_C00064,C00139,C00064,R00021
46,C00139_C00026,C00139,C00026,R00021
47,C00139_C00138,C00139,C00138,R00021
48,C00139_C00080,C00139,C00080,R00021
49,C01674_C00140,C01674,C00140,R00022
50,C00001_C00140,C00001,C00140,R00022
51,C00192_C01818,C00192,C01818,R00023
52,C00192_C00004,C00192,C00004,R00023
53,C00192_C00080,C00192,C00080,R00023
54,C00003_C01818,C00003,C01818,R00023
55,C00003_C00004,C00003,C00004,R00023
56,C00003_C00080,C00003,C00080,R00023
57,C01182_C00197,C01182,C00197,R00024
58,C00011_C00197,C00011,C00197,R00024
59,C00001_C00197,C00001,C00197,R00024
60,C18091_C00084,C18091,C00084,R00025
61,C18091_C00088,C18091,C00088,R00025
62,C18091_C00061,C18091,C00061,R00025
63,C18091_C00001,C18091,C00001,R00025
64,C00007_C00084,C00007,C00084,R00025
65,C00007_C00088,C00007,C00088,R00025
66,C00007_C00061,C00007,C00061,R00025
67,C00007_C00001,C00007,C00001,R00025
68,C01847_C00084,C01847,C00084,R00025
69,C01847_C00088,C01847,C00088,R00025
70,C01847_C00061,C01847,C00061,R00025
71,C01847_C00001,C01847,C00001,R00025
72,C00080_C00084,C00080,C00084,R00025
73,C00080_C00088,C00080,C00088,R00025
74,C00080_C00061,C00080,C00061,R00025
75,C00080_C00001,C00080,C00001,R00025
76,C00185_C00221,C00185,C00221,R00026
77,C00001_C00221,C00001,C00221,R00026
78,C01408_C00261,C01408,C00261,R00027
79,C00208_C00031,C00208,C00031,R00028
80,C00001_C00031,C00001,C00031,R00028
81,C00320_C02084,C00320,C02084,R00029
82,C00320_C00126,C00320,C00126,R00029
83,C00125_C02084,C00125,C02084,R00029
84,C00125_C00126,C00125,C00126,R00029
85,C00007_C00355,C00007,C00355,R00031
86,C00082_C00355,C00082,C00355,R00031
87,C02094_C00376,C02094,C00376,R00032
88,C00007_C00376,C00007,C00376,R00032
89,C00378_C00027,C00378,C00027,R00033
90,C00378_C05856,C00378,C05856,R00033
91,C00007_C00027,C00007,C00027,R00033
92,C00007_C05856,C00007,C05856,R00033
93,C00430_C00931,C00430,C00931,R00036
94,C00430_C00001,C00430,C00001,R00036
95,C00479_C02948,C00479,C02948,R00038
96,C00492_C08242,C00492,C08242,R00039
97,C00492_C00089,C00492,C00089,R00039
98,C00339_C00609,C00339,C00609,R00041
99,C00339_C00001,C00339,C00001,R00041
100,C00007_C00609,C00007,C00609,R00041
101,C00007_C00001,C00007,C00001,R00041
102,C01179_C00642,C01179,C00642,R00042
103,C01179_C00011,C01179,C00011,R00042
104,C00007_C00642,C00007,C00642,R00042
105,C00007_C00011,C00007,C00011,R00042
106,C04547_C00755,C04547,C00755,R00043
107,C00007_C00755,C00007,C00755,R00043
108,C01795_C00757,C01795,C00757,R00044
109,C01795_C00001,C01795,C00001,R00044
110,C00007_C00757,C00007,C00757,R00044
111,C00007_C00001,C00007,C00001,R00044
112,C00007_C00822,C00007,C00822,R00045
113,C00007_C00001,C00007,C00001,R00045
114,C00355_C00822,C00355,C00822,R00045
115,C00355_C00001,C00355,C00001,R00045
116,C00007_C01059,C00007,C01059,R00047
117,C00007_C00011,C00007,C00011,R00047
118,C00007_C00028,C00007,C00028,R00047
119,C00007_C00001,C00007,C00001,R00047
120,C01020_C01059,C01020,C01059,R00047
121,C01020_C00011,C01020,C00011,R00047
122,C01020_C00028,C01020,C00028,R00047
123,C01020_C00001,C01020,C00001,R00047
124,C00030_C01059,C00030,C01059,R00047
125,C00030_C00011,C00030,C00011,R00047
126,C00030_C00028,C00030,C00028,R00047
127,C00030_C00001,C00030,C00001,R00047
128,C04546_C01089,C04546,C01089,R00048
129,C00001_C01089,C00001,C01089,R00048
130,C01158_C00031,C01158,C00031,R00049
131,C01158_C04101,C01158,C04101,R00049
132,C00027_C01334,C00027,C01334,R00052
133,C00027_C00001,C00027,C00001,R00052
134,C01371_C01334,C01371,C01334,R00052
135,C01371_C00001,C01371,C00001,R00052
136,C01327_C01334,C01327,C01334,R00052
137,C01327_C00001,C01327,C00001,R00052
138,C01572_C01424,C01572,C01424,R00053
139,C00001_C01424,C00001,C01424,R00053
140,C02868_C01839,C02868,C01839,R00054
141,C00001_C01839,C00001,C01839,R00054
142,C00294_C01993,C00294,C01993,R00055
143,C00294_C00001,C00294,C00001,R00055
144,C00007_C01993,C00007,C01993,R00055
145,C00007_C00001,C00007,C00001,R00055
146,C01910_C02171,C01910,C02171,R00056
147,C00001_C02171,C00001,C02171,R00056
148,C00007_C02318,C00007,C02318,R00057
149,C00007_C00027,C00007,C00027,R00057
150,C01525_C02318,C01525,C02318,R00057
151,C01525_C00027,C01525,C00027,R00057
152,C00007_C02351,C00007,C02351,R00058
153,C00007_C00001,C00007,C00001,R00058
154,C00090_C02351,C00090,C02351,R00058
155,C00090_C00001,C00090,C00001,R00058
156,C01255_C02378,C01255,C02378,R00059
157,C00001_C02378,C00001,C02378,R00059
158,C00007_C03036,C00007,C03036,R00060
159,C00007_C00001,C00007,C00001,R00060
160,C00495_C03036,C00495,C03036,R00060
161,C00495_C00001,C00495,C00001,R00060
162,C00007_C03040,C00007,C03040,R00061
163,C00007_C00001,C00007,C00001,R00061
164,C00495_C03040,C00495,C03040,R00061
165,C00495_C00001,C00495,C00001,R00061
166,C03374_C00486,C03374,C00486,R00062
167,C03374_C05787,C03374,C05787,R00062
168,C01175_C04275,C01175,C04275,R00063
169,C01175_C00031,C01175,C00031,R00063
170,C04332_C00255,C04332,C00255,R00066
171,C04332_C04732,C04332,C04732,R00066
172,C00007_C05422,C00007,C05422,R00068
173,C00007_C00001,C00007,C00001,R00068
174,C00072_C05422,C00072,C05422,R00068
175,C00072_C00001,C00072,C00001,R00068
176,C05565_C03680,C05565,C03680,R00069
177,C05565_C00007,C05565,C00007,R00069
178,C05565_C00001,C05565,C00001,R00069
179,C00027_C03680,C00027,C03680,R00069
180,C00027_C00007,C00027,C00007,R00069
181,C00027_C00001,C00027,C00001,R00069
182,C05791_C05795,C05791,C05795,R00070
183,C05791_C00001,C05791,C00001,R00070
184,C00007_C05795,C00007,C05795,R00070
185,C00007_C00001,C00007,C00001,R00070
186,C05856_C00027,C05856,C00027,R00072
187,C05856_C02892,C05856,C02892,R00072
188,C00007_C00027,C00007,C00027,R00072
189,C00007_C02892,C00007,C02892,R00072
190,C00001_C00027,C00001,C00027,R00072
191,C00001_C02892,C00001,C02892,R00072
192,C00427_C05956,C00427,C05956,R00073
193,C00427_C00030,C00427,C00030,R00073
194,C00028_C05956,C00028,C05956,R00073
195,C00028_C00030,C00028,C00030,R00073
196,C00001_C05956,C00001,C05956,R00073
197,C00001_C00030,C00001,C00030,R00073
198,C01987_C02161,C01987,C02161,R00074
199,C01987_C00001,C01987,C00001,R00074
200,C00007_C02161,C00007,C02161,R00074
201,C00007_C00001,C00007,C00001,R00074
202,C00019_C00170,C00019,C00170,R00075
203,C00019_C05324,C00019,C05324,R00075
204,C00007_C14819,C00007,C14819,R00078
205,C00007_C00001,C00007,C00001,R00078
206,C14818_C14819,C14818,C14819,R00078
207,C14818_C00001,C14818,C00001,R00078
208,C00080_C14819,C00080,C14819,R00078
209,C00080_C00001,C00080,C00001,R00078
210,C00090_C00001,C00090,C00001,R00080
211,C00090_C03861,C00090,C03861,R00080
212,C00007_C00001,C00007,C00001,R00080
213,C00007_C03861,C00007,C03861,R00080
214,C00007_C00125,C00007,C00125,R00081
215,C00007_C00001,C00007,C00001,R00081
216,C00126_C00125,C00126,C00125,R00081
217,C00126_C00001,C00126,C00001,R00081
218,C00080_C00125,C00080,C00125,R00081
219,C00080_C00001,C00080,C00001,R00081
220,C00007_C00997,C00007,C00997,R00082
221,C00007_C00001,C00007,C00001,R00082
222,C01000_C00997,C01000,C00997,R00082
223,C01000_C00001,C01000,C00001,R00082
224,C00080_C00997,C00080,C00997,R00082
225,C00080_C00001,C00080,C00001,R00082
226,C00931_C01024,C00931,C01024,R00084
227,C00931_C00014,C00931,C00014,R00084
228,C00001_C01024,C00001,C01024,R00084
229,C00001_C00014,C00001,C00014,R00084
230,C00002_C00020,C00002,C00020,R00085
231,C00002_C00009,C00002,C00009,R00085
232,C00001_C00020,C00001,C00020,R00085
233,C00001_C00009,C00001,C00009,R00085
234,C00002_C00008,C00002,C00008,R00086
235,C00002_C00009,C00002,C00009,R00086
236,C00001_C00008,C00001,C00008,R00086
237,C00001_C00009,C00001,C00009,R00086
238,C00002_C00020,C00002,C00020,R00087
239,C00002_C00013,C00002,C00013,R00087
240,C00001_C00020,C00001,C00020,R00087
241,C00001_C00013,C00001,C00013,R00087
242,C00002_C00081,C00002,C00081,R00088
243,C00002_C00014,C00002,C00014,R00088
244,C00001_C00081,C00001,C00081,R00088
245,C00001_C00014,C00001,C00014,R00088
246,C00002_C00575,C00002,C00575,R00089
247,C00002_C00013,C00002,C00013,R00089
248,C00027_C00003,C00027,C00003,R00090
249,C00027_C00001,C00027,C00001,R00090
250,C00004_C00003,C00004,C00003,R00090
251,C00004_C00001,C00004,C00001,R00090
252,C00080_C00003,C00080,C00003,R00090
253,C00080_C00001,C00080,C00001,R00090
254,C00003_C02015,C00003,C02015,R00091
255,C00003_C00004,C00003,C00004,R00091
256,C00003_C00080,C00003,C00080,R00091
257,C00010_C02015,C00010,C02015,R00091
258,C00010_C00004,C00010,C00004,R00091
259,C00010_C00080,C00010,C00080,R00091
260,C00003_C00004,C00003,C00004,R00092
261,C00003_C14819,C00003,C14819,R00092
262,C14818_C00004,C14818,C00004,R00092
263,C14818_C14819,C14818,C14819,R00092
264,C00080_C00004,C00080,C00004,R00092
265,C00080_C14819,C00080,C14819,R00092
266,C00025_C00064,C00025,C00064,R00093
267,C00025_C00026,C00025,C00026,R00093
268,C00025_C00004,C00025,C00004,R00093
269,C00025_C00080,C00025,C00080,R00093
270,C00003_C00064,C00003,C00064,R00093
271,C00003_C00026,C00003,C00026,R00093
272,C00003_C00004,C00003,C00004,R00093
273,C00003_C00080,C00003,C00080,R00093
274,C00051_C00127,C00051,C00127,R00094
275,C00051_C00004,C00051,C00004,R00094
276,C00051_C00080,C00051,C00080,R00094
277,C00003_C00127,C00003,C00127,R00094
278,C00003_C00004,C00003,C00004,R00094
279,C00003_C00080,C00003,C00080,R00094
280,C00003_C00004,C00003,C00004,R00095
281,C00003_C01041,C00003,C01041,R00095
282,C00003_C00080,C00003,C00080,R00095
283,C00072_C00004,C00072,C00004,R00095
284,C00072_C01041,C00072,C01041,R00095
285,C00072_C00080,C00072,C00080,R00095
286,C00541_C00992,C00541,C00992,R00097
287,C00003_C00004,C00003,C00004,R00099
288,C00003_C00080,C00003,C00080,R00099
289,C00003_C00541,C00003,C00541,R00099
290,C00853_C00004,C00853,C00004,R00099
291,C00853_C00080,C00853,C00080,R00099
292,C00853_C00541,C00853,C00541,R00099
293,C00004_C00003,C00004,C00003,R00100
294,C00004_C00999,C00004,C00999,R00100
295,C00004_C00080,C00004,C00080,R00100
296,C00996_C00003,C00996,C00003,R00100
297,C00996_C00999,C00996,C00999,R00100
298,C00996_C00080,C00996,C00080,R00100
299,C00004_C00003,C00004,C00003,R00101
300,C00004_C02685,C00004,C02685,R00101
301,C00004_C00080,C00004,C00080,R00101
302,C02683_C00003,C02683,C00003,R00101
303,C02683_C02685,C02683,C02685,R00101
304,C02683_C00080,C02683,C00080,R00101
305,C00003_C00153,C00003,C00153,R00102
306,C00003_C00301,C00003,C00301,R00102
307,C00003_C00080,C00003,C00080,R00102
308,C00001_C00153,C00001,C00153,R00102
309,C00001_C00301,C00001,C00301,R00102
310,C00001_C00080,C00001,C00080,R00102
311,C00003_C00020,C00003,C00020,R00103
312,C00003_C00455,C00003,C00455,R00103
313,C00003_C00080,C00003,C00080,R00103
314,C00001_C00020,C00001,C00020,R00103
315,C00001_C00455,C00001,C00455,R00103
316,C00001_C00080,C00001,C00080,R00103
317,C00002_C00008,C00002,C00008,R00104
318,C00002_C00006,C00002,C00006,R00104
319,C00003_C00008,C00003,C00008,R00104
320,C00003_C00006,C00003,C00006,R00104
321,C00002_C00008,C00002,C00008,R00105
322,C00002_C00005,C00002,C00005,R00105
323,C00004_C00008,C00004,C00008,R00105
324,C00004_C00005,C00004,C00005,R00105
325,C00005_C00006,C00005,C00006,R00106
326,C00005_C00924,C00005,C00924,R00106
327,C00005_C00080,C00005,C00080,R00106
328,C00923_C00006,C00923,C00006,R00106
329,C00923_C00924,C00923,C00924,R00106
330,C00923_C00080,C00923,C00080,R00106
331,C00005_C00006,C00005,C00006,R00108
332,C00005_C01000,C00005,C01000,R00108
333,C00005_C00080,C00005,C00080,R00108
334,C00997_C00006,C00997,C00006,R00108
335,C00997_C01000,C00997,C01000,R00108
336,C00997_C00080,C00997,C00080,R00108
337,C00005_C00006,C00005,C00006,R00109
338,C00005_C02685,C00005,C02685,R00109
339,C00005_C00080,C00005,C00080,R00109
340,C02683_C00006,C02683,C00006,R00109
341,C02683_C02685,C02683,C02685,R00109
342,C02683_C00080,C02683,C00080,R00109
343,C00005_C00006,C00005,C00006,R00111
344,C00005_C00533,C00005,C00533,R00111
345,C00005_C00327,C00005,C00327,R00111
346,C00005_C00001,C00005,C00001,R00111
347,C05933_C00006,C05933,C00006,R00111
348,C05933_C00533,C05933,C00533,R00111
349,C05933_C00327,C05933,C00327,R00111
350,C05933_C00001,C05933,C00001,R00111
351,C00007_C00006,C00007,C00006,R00111
352,C00007_C00533,C00007,C00533,R00111
353,C00007_C00327,C00007,C00327,R00111
354,C00007_C00001,C00007,C00001,R00111
355,C00080_C00006,C00080,C00006,R00111
356,C00080_C00533,C00080,C00533,R00111
357,C00080_C00327,C00080,C00327,R00111
358,C00080_C00001,C00080,C00001,R00111
359,C00005_C00006,C00005,C00006,R00112
360,C00005_C00004,C00005,C00004,R00112
361,C00003_C00006,C00003,C00006,R00112
362,C00003_C00004,C00003,C00004,R00112
363,C00027_C00006,C00027,C00006,R00113
364,C00027_C00001,C00027,C00001,R00113
365,C00005_C00006,C00005,C00006,R00113
366,C00005_C00001,C00005,C00001,R00113
367,C00080_C00006,C00080,C00006,R00113
368,C00080_C00001,C00080,C00001,R00113
369,C00025_C00064,C00025,C00064,R00114
370,C00025_C00026,C00025,C00026,R00114
371,C00025_C00005,C00025,C00005,R00114
372,C00025_C00080,C00025,C00080,R00114
373,C00006_C00064,C00006,C00064,R00114
374,C00006_C00026,C00006,C00026,R00114
375,C00006_C00005,C00006,C00005,R00114
376,C00006_C00080,C00006,C00080,R00114
377,C00051_C00127,C00051,C00127,R00115
378,C00051_C00005,C00051,C00005,R00115
379,C00051_C00080,C00051,C00080,R00115
380,C00006_C00127,C00006,C00127,R00115
381,C00006_C00005,C00006,C00005,R00115
382,C00006_C00080,C00006,C00080,R00115
383,C00006_C00009,C00006,C00009,R00118
384,C00006_C00003,C00006,C00003,R00118
385,C00001_C00009,C00001,C00009,R00118
386,C00001_C00003,C00001,C00003,R00118
387,C00006_C00153,C00006,C00153,R00119
388,C00006_C13051,C00006,C13051,R00119
389,C00253_C00153,C00253,C00153,R00119
390,C00253_C13051,C00253,C13051,R00119
391,C00007_C00127,C00007,C00127,R00120
392,C00007_C00027,C00007,C00027,R00120
393,C00051_C00127,C00051,C00127,R00120
394,C00051_C00027,C00051,C00027,R00120
395,C00008_C00020,C00008,C00020,R00122
396,C00008_C00009,C00008,C00009,R00122
397,C00001_C00020,C00001,C00020,R00122
398,C00001_C00009,C00001,C00009,R00122
399,C00008_C00104,C00008,C00104,R00123
400,C00008_C00014,C00008,C00014,R00123
401,C00001_C00104,C00001,C00104,R00123
402,C00001_C00014,C00001,C00014,R00123
403,C00002_C00008,C00002,C00008,R00124
404,C00002_C00002,C00002,C00002,R00124
405,C00008_C00008,C00008,C00008,R00124
406,C00008_C00002,C00008,C00002,R00124
407,C01260_C00008,C01260,C00008,R00125
408,C00001_C00008,C00001,C00008,R00125
409,C00008_C00009,C00008,C00009,R00126
410,C00008_C01260,C00008,C01260,R00126
411,C00002_C00009,C00002,C00009,R00126
412,C00002_C01260,C00002,C01260,R00126
413,C00002_C00008,C00002,C00008,R00127
414,C00020_C00008,C00020,C00008,R00127
415,C03483_C00002,C03483,C00002,R00128
416,C03483_C00009,C03483,C00009,R00128
417,C00001_C00002,C00001,C00002,R00128
418,C00001_C00009,C00001,C00009,R00128
419,C00002_C00008,C00002,C00008,R00129
420,C00002_C00009,C00002,C00009,R00129
421,C00002_C00004,C00002,C00004,R00129
422,C04856_C00008,C04856,C00008,R00129
423,C04856_C00009,C04856,C00009,R00129
424,C04856_C00004,C04856,C00004,R00129
425,C00002_C00008,C00002,C00008,R00130
426,C00002_C00010,C00002,C00010,R00130
427,C00882_C00008,C00882,C00008,R00130
428,C00882_C00010,C00882,C00010,R00130
429,C00086_C00011,C00086,C00011,R00131
430,C00086_C00014,C00086,C00014,R00131
431,C00001_C00011,C00001,C00011,R00131
432,C00001_C00014,C00001,C00014,R00131
433,C01353_C00011,C01353,C00011,R00132
434,C01353_C00001,C01353,C00001,R00132
435,C00058_C00011,C00058,C00011,R00134
436,C00058_C00005,C00058,C00005,R00134
437,C00058_C00080,C00058,C00080,R00134
438,C00006_C00011,C00006,C00011,R00134
439,C00006_C00005,C00006,C00005,R00134
440,C00006_C00080,C00006,C00080,R00134
441,C00012_C00148,C00012,C00148,R00135
442,C00012_C00012,C00012,C00012,R00135
443,C00001_C00148,C00001,C00148,R00135
444,C00001_C00012,C00001,C00012,R00135
445,C00002_C00013,C00002,C00013,R00137
446,C00002_C00003,C00002,C00003,R00137
447,C00455_C00013,C00455,C00013,R00137
448,C00455_C00003,C00455,C00003,R00137
449,C00080_C00013,C00080,C00013,R00137
450,C00080_C00003,C00080,C00003,R00137
451,C00536_C00013,C00536,C00013,R00138
452,C00536_C00009,C00536,C00009,R00138
453,C00001_C00013,C00001,C00013,R00138
454,C00001_C00009,C00001,C00009,R00138
455,C11038_C11039,C11038,C11039,R00139
456,C11038_C00008,C11038,C00008,R00139
457,C00002_C11039,C00002,C11039,R00139
458,C00002_C00008,C00002,C00008,R00139
459,C11038_C03997,C11038,C03997,R00140
460,C11038_C00002,C11038,C00002,R00140
461,C00008_C03997,C00008,C03997,R00140
462,C00008_C00002,C00008,C00002,R00140
463,C00002_C00008,C00002,C00008,R00141
464,C00002_C02306,C00002,C02306,R00141
465,C00014_C00008,C00014,C00008,R00141
466,C00014_C02306,C00014,C02306,R00141
467,C00014_C00192,C00014,C00192,R00143
468,C00014_C00004,C00014,C00004,R00143
469,C00014_C00080,C00014,C00080,R00143
470,C00003_C00192,C00003,C00192,R00143
471,C00003_C00004,C00003,C00004,R00143
472,C00003_C00080,C00003,C00080,R00143
473,C00001_C00192,C00001,C00192,R00143
474,C00001_C00004,C00001,C00004,R00143
475,C00001_C00080,C00001,C00080,R00143
476,C05167_C00161,C05167,C00161,R00145
477,C05167_C00014,C05167,C00014,R00145
478,C05167_C00004,C05167,C00004,R00145
479,C05167_C00080,C05167,C00080,R00145
480,C00001_C00161,C00001,C00161,R00145
481,C00001_C00014,C00001,C00014,R00145
482,C00001_C00004,C00001,C00004,R00145
483,C00001_C00080,C00001,C00080,R00145
484,C00003_C00161,C00003,C00161,R00145
485,C00003_C00014,C00003,C00014,R00145
486,C00003_C00004,C00003,C00004,R00145
487,C00003_C00080,C00003,C00080,R00145
488,C05167_C00161,C05167,C00161,R00146
489,C05167_C00014,C05167,C00014,R00146
490,C05167_C00005,C05167,C00005,R00146
491,C05167_C00080,C05167,C00080,R00146
492,C00001_C00161,C00001,C00161,R00146
493,C00001_C00014,C00001,C00014,R00146
494,C00001_C00005,C00001,C00005,R00146
495,C00001_C00080,C00001,C00080,R00146
496,C00006_C00161,C00006,C00161,R00146
497,C00006_C00014,C00006,C00014,R00146
498,C00006_C00005,C00006,C00005,R00146
499,C00006_C00080,C00006,C00080,R00146
500,C00014_C00192,C00014,C00192,R00148
501,C00014_C00001,C00014,C00001,R00148
502,C00014_C00399,C00014,C00399,R00148
503,C00007_C00192,C00007,C00192,R00148
504,C00007_C00001,C00007,C00001,R00148
505,C00007_C00399,C00007,C00399,R00148
506,C00390_C00192,C00390,C00192,R00148
507,C00390_C00001,C00390,C00001,R00148
508,C00390_C00399,C00390,C00399,R00148
509,C00002_C00008,C00002,C00008,R00149
510,C00002_C00009,C00002,C00009,R00149
511,C00002_C00169,C00002,C00169,R00149
512,C00014_C00008,C00014,C00008,R00149
513,C00014_C00009,C00014,C00009,R00149
514,C00014_C00169,C00014,C00169,R00149
515,C00011_C00008,C00011,C00008,R00149
516,C00011_C00009,C00011,C00009,R00149
517,C00011_C00169,C00011,C00169,R00149
518,C00001_C00008,C00001,C00008,R00149
519,C00001_C00009,C00001,C00009,R00149
520,C00001_C00169,C00001,C00169,R00149
521,C00002_C00008,C00002,C00008,R00150
522,C00002_C00169,C00002,C00169,R00150
523,C00002_C00001,C00002,C00001,R00150
524,C00014_C00008,C00014,C00008,R00150
525,C00014_C00169,C00014,C00169,R00150
526,C00014_C00001,C00014,C00001,R00150
527,C00288_C00008,C00288,C00008,R00150
528,C00288_C00169,C00288,C00169,R00150
529,C00288_C00001,C00288,C00001,R00150
530,C00080_C00008,C00080,C00008,R00150
531,C00080_C00169,C00080,C00169,R00150
532,C00080_C00001,C00080,C00001,R00150
533,C01326_C00014,C01326,C00014,R00152
534,C01326_C00058,C01326,C00058,R00152
535,C00001_C00014,C00001,C00014,R00152
536,C00001_C00058,C00001,C00058,R00152
537,C00015_C00105,C00015,C00105,R00155
538,C00015_C00009,C00015,C00009,R00155
539,C00001_C00105,C00001,C00105,R00155
540,C00001_C00009,C00001,C00009,R00155
541,C00002_C00008,C00002,C00008,R00156
542,C00002_C00075,C00002,C00075,R00156
543,C00015_C00008,C00015,C00008,R00156
544,C00015_C00075,C00015,C00075,R00156
545,C00075_C00015,C00075,C00015,R00157
546,C00075_C00008,C00075,C00008,R00157
547,C00020_C00015,C00020,C00015,R00157
548,C00020_C00008,C00020,C00008,R00157
549,C00002_C00008,C00002,C00008,R00158
550,C00002_C00015,C00002,C00015,R00158
551,C00105_C00008,C00105,C00008,R00158
552,C00105_C00015,C00105,C00015,R00158
553,C00075_C00015,C00075,C00015,R00159
554,C00075_C00009,C00075,C00009,R00159
555,C00001_C00015,C00001,C00015,R00159
556,C00001_C00009,C00001,C00009,R00159
557,C00016_C00020,C00016,C00020,R00160
558,C00016_C00061,C00016,C00061,R00160
559,C00001_C00020,C00001,C00020,R00160
560,C00001_C00061,C00001,C00061,R00160
561,C00002_C00013,C00002,C00013,R00161
562,C00002_C00016,C00002,C00016,R00161
563,C00061_C00013,C00061,C00013,R00161
564,C00061_C00016,C00061,C00016,R00161
565,C00017_C00886,C00017,C00886,R00165
566,C00017_C02047,C00017,C02047,R00166
567,C02163_C00613,C02163,C00613,R00167
568,C00017_C02554,C00017,C02554,R00168
569,C00017_C02987,C00017,C02987,R00169
570,C00017_C03127,C00017,C03127,R00170
571,C00017_C05336,C00017,C05336,R00172
572,C00018_C00250,C00018,C00250,R00173
573,C00018_C00009,C00018,C00009,R00173
574,C00001_C00250,C00001,C00250,R00173
575,C00001_C00009,C00001,C00009,R00173
576,C00002_C00008,C00002,C00008,R00174
577,C00002_C00018,C00002,C00018,R00174
578,C00250_C00008,C00250,C00008,R00174
579,C00250_C00018,C00250,C00018,R00174
580,C00019_C00170,C00019,C00170,R00175
581,C00019_C00263,C00019,C00263,R00175
582,C00001_C00170,C00001,C00170,R00175
583,C00001_C00263,C00001,C00263,R00175
584,C00009_C00002,C00009,C00002,R00177
585,C00009_C00073,C00009,C00073,R00177
586,C00009_C00001,C00009,C00001,R00177
587,C00013_C00002,C00013,C00002,R00177
588,C00013_C00073,C00013,C00073,R00177
589,C00013_C00001,C00013,C00001,R00177
590,C00019_C00002,C00019,C00002,R00177
591,C00019_C00073,C00019,C00073,R00177
592,C00019_C00001,C00019,C00001,R00177
593,C00019_C01137,C00019,C01137,R00178
594,C00019_C00011,C00019,C00011,R00178
595,C00080_C01137,C00080,C01137,R00178
596,C00080_C00011,C00080,C00011,R00178
597,C00019_C01234,C00019,C01234,R00179
598,C00019_C00170,C00019,C00170,R00179
599,C00019_C00170,C00019,C00170,R00180
600,C00019_C02926,C00019,C02926,R00180
601,C00020_C00130,C00020,C00130,R00181
602,C00020_C00014,C00020,C00014,R00181
603,C00001_C00130,C00001,C00130,R00181
604,C00001_C00014,C00001,C00014,R00181
605,C00020_C00147,C00020,C00147,R00182
606,C00020_C00117,C00020,C00117,R00182
607,C00001_C00147,C00001,C00147,R00182
608,C00001_C00117,C00001,C00117,R00182
609,C00020_C00212,C00020,C00212,R00183
610,C00020_C00009,C00020,C00009,R00183
611,C00001_C00212,C00001,C00212,R00183
612,C00001_C00009,C00001,C00009,R00183
613,C01260_C00002,C01260,C00002,R00184
614,C01260_C00020,C01260,C00020,R00184
615,C00001_C00002,C00001,C00002,R00184
616,C00001_C00020,C00001,C00020,R00184
617,C00002_C00008,C00002,C00008,R00185
618,C00002_C00020,C00002,C00020,R00185
619,C00212_C00008,C00212,C00008,R00185
620,C00212_C00020,C00212,C00020,R00185
621,C06197_C00008,C06197,C00008,R00187
622,C06197_C00020,C06197,C00020,R00187
623,C00001_C00008,C00001,C00008,R00187
624,C00001_C00020,C00001,C00020,R00187
625,C00054_C00020,C00054,C00020,R00188
626,C00054_C00009,C00054,C00009,R00188
627,C00001_C00020,C00001,C00020,R00188
628,C00001_C00009,C00001,C00009,R00188
629,C00002_C00020,C00002,C00020,R00189
630,C00002_C00013,C00002,C00013,R00189
631,C00002_C00003,C00002,C00003,R00189
632,C00857_C00020,C00857,C00020,R00189
633,C00857_C00013,C00857,C00013,R00189
634,C00857_C00003,C00857,C00003,R00189
