,Pairs,source,target,Reaction
3808,C00222_C00099,C00222,C00099,R00907
3809,C00099_C00222,C00099,C00222,R00908
3810,C00099_C00025,C00099,C00025,R00908
3811,C00026_C00222,C00026,C00222,R00908
3812,C00026_C00025,C00026,C00025,R00908
3813,C01073_C00033,C01073,C00033,R00909
3814,C01073_C00099,C01073,C00099,R00909
3815,C00001_C00033,C00001,C00033,R00909
3816,C00001_C00099,C00001,C00099,R00909
3817,C00002_C00008,C00002,C00008,R00910
3818,C00002_C00009,C00002,C00009,R00910
3819,C00002_C05341,C00002,C05341,R00910
3820,C00047_C00008,C00047,C00008,R00910
3821,C00047_C00009,C00047,C00009,R00910
3822,C00047_C05341,C00047,C05341,R00910
3823,C00099_C00008,C00099,C00008,R00910
3824,C00099_C00009,C00099,C00009,R00910
3825,C00099_C05341,C00099,C05341,R00910
3826,C05341_C00099,C05341,C00099,R00911
3827,C05341_C00047,C05341,C00047,R00911
3828,C00001_C00099,C00001,C00099,R00911
3829,C00001_C00047,C00001,C00047,R00911
3830,C00002_C00008,C00002,C00008,R00912
3831,C00002_C00009,C00002,C00009,R00912
3832,C00002_C05340,C00002,C05340,R00912
3833,C00062_C00008,C00062,C00008,R00912
3834,C00062_C00009,C00062,C00009,R00912
3835,C00062_C05340,C00062,C05340,R00912
3836,C00099_C00008,C00099,C00008,R00912
3837,C00099_C00009,C00099,C00009,R00912
3838,C00099_C05340,C00099,C05340,R00912
3839,C03065_C00099,C03065,C00099,R00913
3840,C03065_C00086,C03065,C00086,R00913
3841,C00001_C00099,C00001,C00099,R00913
3842,C00001_C00086,C00001,C00086,R00913
3843,C00099_C02335,C00099,C02335,R00914
3844,C00099_C03722,C00099,C03722,R00915
3845,C00099_C05669,C00099,C05669,R00916
3846,C00099_C05670,C00099,C05670,R00917
3847,C00099_C00001,C00099,C00001,R00917
3848,C00014_C05670,C00014,C05670,R00917
3849,C00014_C00001,C00014,C00001,R00917
3850,C00100_C03240,C00100,C03240,R00918
3851,C00100_C00010,C00100,C00010,R00918
3852,C00100_C00011,C00100,C00011,R00918
3853,C00100_C00001,C00100,C00001,R00918
3854,C00100_C00006,C00100,C00006,R00918
3855,C00683_C03240,C00683,C03240,R00918
3856,C00683_C00010,C00683,C00010,R00918
3857,C00683_C00011,C00683,C00011,R00918
3858,C00683_C00001,C00683,C00001,R00918
3859,C00683_C00006,C00683,C00006,R00918
3860,C00005_C03240,C00005,C03240,R00918
3861,C00005_C00010,C00005,C00010,R00918
3862,C00005_C00011,C00005,C00011,R00918
3863,C00005_C00001,C00005,C00001,R00918
3864,C00005_C00006,C00005,C00006,R00918
3865,C00080_C03240,C00080,C03240,R00918
3866,C00080_C00010,C00080,C00010,R00918
3867,C00080_C00011,C00080,C00011,R00918
3868,C00080_C00001,C00080,C00001,R00918
3869,C00080_C00006,C00080,C00006,R00918
3870,C00100_C00894,C00100,C00894,R00919
3871,C00100_C00005,C00100,C00005,R00919
3872,C00100_C00080,C00100,C00080,R00919
3873,C00006_C00894,C00006,C00894,R00919
3874,C00006_C00005,C00006,C00005,R00919
3875,C00006_C00080,C00006,C00080,R00919
3876,C00002_C00008,C00002,C00008,R00920
3877,C00002_C00009,C00002,C00009,R00920
3878,C00002_C00100,C00002,C00100,R00920
3879,C00163_C00008,C00163,C00008,R00920
3880,C00163_C00009,C00163,C00009,R00920
3881,C00163_C00100,C00163,C00100,R00920
3882,C00010_C00008,C00010,C00008,R00920
3883,C00010_C00009,C00010,C00009,R00920
3884,C00010_C00100,C00010,C00100,R00920
3885,C00100_C02876,C00100,C02876,R00921
3886,C00100_C00010,C00100,C00010,R00921
3887,C00009_C02876,C00009,C02876,R00921
3888,C00009_C00010,C00009,C00010,R00921
3889,C00349_C00100,C00349,C00100,R00922
3890,C00349_C00011,C00349,C00011,R00922
3891,C00349_C00004,C00349,C00004,R00922
3892,C00349_C00080,C00349,C00080,R00922
3893,C00010_C00100,C00010,C00100,R00922
3894,C00010_C00011,C00010,C00011,R00922
3895,C00010_C00004,C00010,C00004,R00922
3896,C00010_C00080,C00010,C00080,R00922
3897,C00003_C00100,C00003,C00100,R00922
3898,C00003_C00011,C00003,C00011,R00922
3899,C00003_C00004,C00003,C00004,R00922
3900,C00003_C00080,C00003,C00080,R00922
3901,C00683_C00100,C00683,C00100,R00923
3902,C00683_C00011,C00683,C00011,R00923
3903,C00002_C00020,C00002,C00020,R00925
3904,C00002_C00013,C00002,C00013,R00925
3905,C00002_C00100,C00002,C00100,R00925
3906,C00163_C00020,C00163,C00020,R00925
3907,C00163_C00013,C00163,C00013,R00925
3908,C00163_C00100,C00163,C00100,R00925
3909,C00010_C00020,C00010,C00020,R00925
3910,C00010_C00013,C00010,C00013,R00925
3911,C00010_C00100,C00010,C00100,R00925
3912,C05983_C00020,C05983,C00020,R00926
3913,C05983_C00100,C05983,C00100,R00926
3914,C00010_C00020,C00010,C00020,R00926
3915,C00010_C00100,C00010,C00100,R00926
3916,C00100_C00010,C00100,C00010,R00927
3917,C00100_C03344,C00100,C03344,R00927
3918,C00024_C00010,C00024,C00010,R00927
3919,C00024_C03344,C00024,C03344,R00927
3920,C00024_C00033,C00024,C00033,R00928
3921,C00024_C00100,C00024,C00100,R00928
3922,C00163_C00033,C00163,C00033,R00928
3923,C00163_C00100,C00163,C00100,R00928
3924,C00683_C00100,C00683,C00100,R00930
3925,C00683_C00036,C00683,C00036,R00930
3926,C00022_C00100,C00022,C00100,R00930
3927,C00022_C00036,C00022,C00036,R00930
3928,C02225_C00100,C02225,C00100,R00931
3929,C02225_C00036,C02225,C00036,R00931
3930,C02225_C00001,C02225,C00001,R00931
3931,C00010_C00100,C00010,C00100,R00931
3932,C00010_C00036,C00010,C00036,R00931
3933,C00010_C00001,C00010,C00001,R00931
3934,C02630_C00100,C02630,C00100,R00932
3935,C02630_C00001,C02630,C00001,R00932
3936,C02630_C00048,C02630,C00048,R00932
3937,C00010_C00100,C00010,C00100,R00932
3938,C00010_C00001,C00010,C00001,R00932
3939,C00010_C00048,C00010,C00048,R00932
3940,C00100_C06027,C00100,C06027,R00934
3941,C00048_C06027,C00048,C06027,R00934
3942,C06002_C00100,C06002,C00100,R00935
3943,C06002_C00011,C06002,C00011,R00935
3944,C06002_C00004,C06002,C00004,R00935
3945,C06002_C00080,C06002,C00080,R00935
3946,C00010_C00100,C00010,C00100,R00935
3947,C00010_C00011,C00010,C00011,R00935
3948,C00010_C00004,C00010,C00004,R00935
3949,C00010_C00080,C00010,C00080,R00935
3950,C00003_C00100,C00003,C00100,R00935
3951,C00003_C00011,C00003,C00011,R00935
3952,C00003_C00004,C00003,C00004,R00935
3953,C00003_C00080,C00003,C00080,R00935
3954,C00101_C00415,C00101,C00415,R00936
