,Entry,Names,Formula,Exact Mass,Mol Weight,SMILES,Local Total In/Out-Degree(0.1 - 1.0),Reactions,ChEBI,PubChem,Reference,N,P,X,Mn,W,S,B,R,Mo,H,Fe,Co,Ni,As,Mg,Na,Se,Br,Hg,C,Cl,O,I,F,polymer,mol_weight
7412,C20871,"[""3'-Hydroxyflavone""]",C15H10O3,238.063,238.2381,O=c1cc(-c2cccc(O)c2)oc2ccccc12,"[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]","[""R10824""]",[],"[""254741337""]","""""",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,15,0,3,0,0,0,238.23000000000002
7413,C20872,"[""3'-Methoxyflavone""]",C16H12O3,252.0786,252.2647,COc1cccc(-c2cc(=O)c3ccccc3o2)c1,"[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]","[""R10824""]","[""63327""]","[""254741338""]","""""",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,16,0,3,0,0,0,252.256
7414,C20876,"[""Very-long-chain acyl-CoA""]",C24H39N7O17P3SR,"""""","""""",*CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,"[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[""R10825"", ""R10828""]",[],"[""254741342""]","""""",7,3,0,0,0,1,0,1,0,39,0,0,0,0,0,0,0,0,0,24,0,17,0,0,0,411.30100000000004
7415,C20877,"[""Very-long-chain 3-oxoacyl-CoA""]",C24H37N7O18P3SR,"""""","""""",*C(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,"[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[""R10825"", ""R10826""]",[],"[""254741343""]","""""",7,3,0,0,0,1,0,1,0,37,0,0,0,0,0,0,0,0,0,24,0,18,0,0,0,418.293
7416,C20878,"[""Very-long-chain (3R)-3-hydroxyacyl-CoA""]",C24H39N7O18P3SR,"""""","""""",*[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,"[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[""R10826"", ""R10827""]",[],"[""254741344""]","""""",7,3,0,0,0,1,0,1,0,39,0,0,0,0,0,0,0,0,0,24,0,18,0,0,0,419.30100000000004
7417,C20879,"[""Very-long-chain trans-2,3-dehydroacyl-CoA""]",C24H37N7O17P3SR,"""""","""""",*/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,"[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[""R10827"", ""R10828""]",[],"[""254741345""]","""""",7,3,0,0,0,1,0,1,0,37,0,0,0,0,0,0,0,0,0,24,0,17,0,0,0,410.293
7418,C20883,"[""3,4-Dihydroxybenzoyl-[aryl-carrier protein]"", ""3,4-Dihydroxybenzoyl-[acp]""]",C7H5O3SR,"""""","""""",*SC(=O)c1ccc(O)c(O)c1,"[[15, 15], [15, 15], [16, 16], [16, 16], [17, 17], [17, 17], [20, 20], [20, 20], [20, 20], [20, 20]]","[""R12575"", ""R12577"", ""R12597"", ""R12600"", ""R12601""]",[],"[""405226291""]","""""",0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,84.59
7419,C20884,"[""(3,4-Dihydroxybenzoyl)adenylate""]",C17H18N5O10P,483.0791,483.3261,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OC(=O)c2ccc(O)c(O)c2)[C@@H](O)[C@H]1O,"[[23, 23], [23, 23], [23, 23], [23, 23], [24, 24], [24, 24], [26, 26], [26, 26], [26, 26], [26, 26]]","[""R12576"", ""R12577""]",[],"[""405226292""]","""""",5,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,17,0,10,0,0,0,483.33399999999995
7420,C20885,"[""N-Citryl-spermidine""]",C13H25N3O6,319.1743,319.3541,NCCCNCCCCNC(=O)CC(O)(CC(=O)O)C(=O)O,"[[25, 25], [37, 37], [41, 41], [44, 44], [46, 46], [47, 47], [47, 47], [47, 47], [47, 47], [47, 47]]","[""R12596"", ""R12597"", ""R12598""]",[],"[""405226293""]","""""",3,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,13,0,6,0,0,0,319.36
7421,C20887,"[""beta-D-Mannosyl-1,4-N-acetyl-D-glucosamine"", ""4-O-beta-D-Mannopyranosyl-N-acetyl-D-glucosamine""]",C14H25NO11,383.1428,383.3484,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H]1O,"[[15, 15], [25, 25], [25, 25], [25, 25], [25, 25], [27, 27], [27, 27], [27, 27], [27, 27], [27, 27]]","[""R10829""]",[],"[""254741350""]","""""",1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,14,0,11,0,0,0,383.34999999999997
