,Pairs,source,target,Reaction,RPAIR_main
0,C00009_C00013,C00013,C00009,R00004,0
1,C00001_C00009,C00001,C00009,R00004,0
2,C00011_C01010,C01010,C00011,R00005,2
3,C00014_C01010,C01010,C00014,R00005,2
4,C00001_C00011,C00001,C00011,R00005,0
5,C00001_C00014,C00001,C00014,R00005,2
6,C00022_C00900,C00900,C00022,R00006,1
7,C00011_C00022,C00011,C00022,R00006,0
8,C00022_C06033,C06033,C00022,R00008,1
9,C00007_C00027,C00027,C00007,R00009,1
10,C00001_C00027,C00027,C00001,R00009,0
11,C00031_C01083,C01083,C00031,R00010,2
12,C00001_C00031,C00001,C00031,R00010,0
13,C19610_C19611,C19610,C19611,R00011,2
14,C00001_C19610,C19610,C00001,R00011,2
15,C00027_C19611,C00027,C19611,R00011,2
16,C00001_C00027,C00027,C00001,R00011,0
17,C00080_C19611,C00080,C19611,R00011,2
18,C00001_C00080,C00080,C00001,R00011,2
19,C00013_C00044,C00044,C00013,R00012,0
20,C00044_C01261,C00044,C01261,R00012,1
21,C00048_C01146,C00048,C01146,R00013,1
22,C00011_C00048,C00048,C00011,R00013,0
23,C00022_C05125,C00022,C05125,R00014,1
24,C00011_C00022,C00022,C00011,R00014,0
25,C00068_C05125,C00068,C05125,R00014,1
26,C00011_C00068,C00068,C00011,R00014,2
27,C00031_C00089,C00089,C00031,R00015,2
28,C00089_C03661,C00089,C03661,R00015,1
29,C00027_C00125,C00027,C00125,R00017,2
30,C00001_C00027,C00027,C00001,R00017,0
31,C00125_C00126,C00126,C00125,R00017,2
32,C00001_C00126,C00126,C00001,R00017,2
33,C00080_C00125,C00080,C00125,R00017,2
34,C00001_C00080,C00080,C00001,R00017,2
35,C00134_C06366,C00134,C06366,R00018,2
36,C00014_C00134,C00134,C00014,R00018,0
37,C00138_C00282,C00138,C00282,R00019,2
38,C00138_C00139,C00138,C00139,R00019,2
39,C00080_C00282,C00080,C00282,R00019,2
40,C00080_C00139,C00080,C00139,R00019,2
41,C00025_C00064,C00025,C00064,R00021,1
42,C00025_C00026,C00025,C00026,R00021,1
43,C00025_C00138,C00025,C00138,R00021,2
44,C00025_C00080,C00025,C00080,R00021,2
45,C00064_C00139,C00139,C00064,R00021,2
46,C00026_C00139,C00139,C00026,R00021,2
47,C00138_C00139,C00139,C00138,R00021,2
48,C00080_C00139,C00139,C00080,R00021,2
49,C00140_C01674,C01674,C00140,R00022,2
50,C00001_C00140,C00001,C00140,R00022,2
51,C00192_C01818,C00192,C01818,R00023,2
52,C00004_C00192,C00192,C00004,R00023,2
53,C00080_C00192,C00192,C00080,R00023,2
54,C00003_C01818,C00003,C01818,R00023,2
55,C00003_C00004,C00003,C00004,R00023,1
56,C00003_C00080,C00003,C00080,R00023,2
57,C00197_C01182,C01182,C00197,R00024,2
58,C00011_C00197,C00011,C00197,R00024,2
59,C00001_C00197,C00001,C00197,R00024,0
60,C00084_C18091,C18091,C00084,R00025,2
61,C00088_C18091,C18091,C00088,R00025,2
62,C00061_C18091,C18091,C00061,R00025,2
63,C00001_C18091,C18091,C00001,R00025,2
64,C00007_C00084,C00007,C00084,R00025,2
65,C00007_C00088,C00007,C00088,R00025,2
66,C00007_C00061,C00007,C00061,R00025,2
67,C00001_C00007,C00007,C00001,R00025,0
68,C00084_C01847,C01847,C00084,R00025,2
69,C00088_C01847,C01847,C00088,R00025,2
70,C00061_C01847,C01847,C00061,R00025,1
71,C00001_C01847,C01847,C00001,R00025,2
72,C00080_C00084,C00080,C00084,R00025,2
73,C00080_C00088,C00080,C00088,R00025,2
74,C00061_C00080,C00080,C00061,R00025,2
75,C00001_C00080,C00080,C00001,R00025,2
76,C00185_C00221,C00185,C00221,R00026,2
77,C00001_C00221,C00001,C00221,R00026,2
78,C00261_C01408,C01408,C00261,R00027,2
79,C00031_C00208,C00208,C00031,R00028,2
80,C00001_C00031,C00001,C00031,R00028,0
81,C00320_C02084,C00320,C02084,R00029,1
82,C00126_C00320,C00320,C00126,R00029,2
83,C00125_C02084,C00125,C02084,R00029,2
84,C00125_C00126,C00125,C00126,R00029,2
85,C00007_C00355,C00007,C00355,R00031,0
86,C00082_C00355,C00082,C00355,R00031,1
87,C00376_C02094,C02094,C00376,R00032,1
88,C00007_C00376,C00007,C00376,R00032,0
89,C00027_C00378,C00378,C00027,R00033,2
90,C00378_C05856,C00378,C05856,R00033,1
91,C00007_C00027,C00007,C00027,R00033,1
92,C00007_C05856,C00007,C05856,R00033,2
93,C00430_C00931,C00430,C00931,R00036,1
94,C00001_C00430,C00430,C00001,R00036,0
95,C00479_C02948,C00479,C02948,R00038,1
96,C00492_C08242,C00492,C08242,R00039,1
97,C00089_C00492,C00492,C00089,R00039,1
98,C00339_C00609,C00339,C00609,R00041,2
99,C00001_C00339,C00339,C00001,R00041,2
100,C00007_C00609,C00007,C00609,R00041,2
101,C00001_C00007,C00007,C00001,R00041,0
102,C00642_C01179,C01179,C00642,R00042,1
103,C00011_C01179,C01179,C00011,R00042,0
104,C00007_C00642,C00007,C00642,R00042,0
105,C00007_C00011,C00007,C00011,R00042,0
106,C00755_C04547,C04547,C00755,R00043,1
107,C00007_C00755,C00007,C00755,R00043,0
108,C00757_C01795,C01795,C00757,R00044,2
109,C00001_C01795,C01795,C00001,R00044,2
110,C00007_C00757,C00007,C00757,R00044,2
111,C00001_C00007,C00007,C00001,R00044,0
112,C00007_C00822,C00007,C00822,R00045,2
113,C00001_C00007,C00007,C00001,R00045,0
114,C00355_C00822,C00355,C00822,R00045,1
115,C00001_C00355,C00355,C00001,R00045,2
116,C00007_C01059,C00007,C01059,R00047,0
117,C00007_C00011,C00007,C00011,R00047,0
118,C00007_C00028,C00007,C00028,R00047,2
119,C00001_C00007,C00007,C00001,R00047,0
120,C01020_C01059,C01020,C01059,R00047,1
121,C00011_C01020,C01020,C00011,R00047,0
122,C00028_C01020,C01020,C00028,R00047,2
123,C00001_C01020,C01020,C00001,R00047,2
124,C00030_C01059,C00030,C01059,R00047,2
125,C00011_C00030,C00030,C00011,R00047,2
126,C00028_C00030,C00030,C00028,R00047,2
127,C00001_C00030,C00030,C00001,R00047,2
128,C01089_C04546,C04546,C01089,R00048,1
129,C00001_C01089,C00001,C01089,R00048,2
130,C00031_C01158,C01158,C00031,R00049,2
131,C01158_C04101,C01158,C04101,R00049,1
132,C00027_C01334,C00027,C01334,R00052,2
133,C00001_C00027,C00027,C00001,R00052,0
134,C01334_C01371,C01371,C01334,R00052,1
135,C00001_C01371,C01371,C00001,R00052,2
136,C01327_C01334,C01327,C01334,R00052,2
137,C00001_C01327,C01327,C00001,R00052,2
138,C01424_C01572,C01572,C01424,R00053,1
139,C00001_C01424,C00001,C01424,R00053,0
140,C01839_C02868,C02868,C01839,R00054,1
141,C00001_C01839,C00001,C01839,R00054,0
142,C00294_C01993,C00294,C01993,R00055,2
143,C00001_C00294,C00294,C00001,R00055,0
144,C00007_C01993,C00007,C01993,R00055,2
145,C00001_C00007,C00007,C00001,R00055,0
146,C01910_C02171,C01910,C02171,R00056,2
147,C00001_C02171,C00001,C02171,R00056,2
148,C00007_C02318,C00007,C02318,R00057,2
149,C00007_C00027,C00007,C00027,R00057,1
150,C01525_C02318,C01525,C02318,R00057,2
151,C00027_C01525,C01525,C00027,R00057,2
152,C00007_C02351,C00007,C02351,R00058,2
153,C00001_C00007,C00007,C00001,R00058,0
154,C00090_C02351,C00090,C02351,R00058,2
155,C00001_C00090,C00090,C00001,R00058,2
156,C01255_C02378,C01255,C02378,R00059,1
157,C00001_C02378,C00001,C02378,R00059,0
158,C00007_C03036,C00007,C03036,R00060,2
159,C00001_C00007,C00007,C00001,R00060,0
160,C00495_C03036,C00495,C03036,R00060,2
161,C00001_C00495,C00495,C00001,R00060,2
162,C00007_C03040,C00007,C03040,R00061,2
163,C00001_C00007,C00007,C00001,R00061,0
164,C00495_C03040,C00495,C03040,R00061,2
165,C00001_C00495,C00495,C00001,R00061,2
166,C00486_C03374,C03374,C00486,R00062,2
167,C03374_C05787,C03374,C05787,R00062,2
168,C01175_C04275,C01175,C04275,R00063,1
169,C00031_C01175,C01175,C00031,R00063,2
170,C00255_C04332,C04332,C00255,R00066,2
171,C04332_C04732,C04332,C04732,R00066,1
172,C00007_C05422,C00007,C05422,R00068,2
173,C00001_C00007,C00007,C00001,R00068,0
174,C00072_C05422,C00072,C05422,R00068,1
175,C00001_C00072,C00072,C00001,R00068,2
176,C03680_C05565,C05565,C03680,R00069,1
177,C00007_C05565,C05565,C00007,R00069,0
178,C00001_C05565,C05565,C00001,R00069,2
179,C00027_C03680,C00027,C03680,R00069,2
180,C00007_C00027,C00027,C00007,R00069,1
181,C00001_C00027,C00027,C00001,R00069,0
182,C05791_C05795,C05791,C05795,R00070,2
183,C00001_C05791,C05791,C00001,R00070,2
184,C00007_C05795,C00007,C05795,R00070,2
185,C00001_C00007,C00007,C00001,R00070,0
186,C00027_C05856,C05856,C00027,R00072,2
187,C02892_C05856,C05856,C02892,R00072,1
188,C00007_C00027,C00007,C00027,R00072,1
189,C00007_C02892,C00007,C02892,R00072,2
190,C00001_C00027,C00001,C00027,R00072,0
191,C00001_C02892,C00001,C02892,R00072,0
192,C00427_C05956,C00427,C05956,R00073,2
193,C00030_C00427,C00427,C00030,R00073,2
194,C00028_C05956,C00028,C05956,R00073,2
195,C00028_C00030,C00028,C00030,R00073,2
196,C00001_C05956,C00001,C05956,R00073,2
197,C00001_C00030,C00001,C00030,R00073,2
198,C01987_C02161,C01987,C02161,R00074,2
199,C00001_C01987,C01987,C00001,R00074,2
200,C00007_C02161,C00007,C02161,R00074,2
201,C00001_C00007,C00007,C00001,R00074,0
202,C00019_C00170,C00019,C00170,R00075,1
203,C00019_C05324,C00019,C05324,R00075,2
204,C00007_C14819,C00007,C14819,R00078,2
205,C00001_C00007,C00007,C00001,R00078,0
206,C14818_C14819,C14818,C14819,R00078,2
207,C00001_C14818,C14818,C00001,R00078,2
208,C00080_C14819,C00080,C14819,R00078,2
209,C00001_C00080,C00080,C00001,R00078,2
210,C00001_C00090,C00090,C00001,R00080,2
211,C00090_C03861,C00090,C03861,R00080,2
212,C00001_C00007,C00007,C00001,R00080,0
213,C00007_C03861,C00007,C03861,R00080,2
214,C00007_C00125,C00007,C00125,R00081,2
215,C00001_C00007,C00007,C00001,R00081,0
216,C00125_C00126,C00126,C00125,R00081,2
217,C00001_C00126,C00126,C00001,R00081,2
218,C00080_C00125,C00080,C00125,R00081,2
219,C00001_C00080,C00080,C00001,R00081,2
220,C00007_C00997,C00007,C00997,R00082,2
221,C00001_C00007,C00007,C00001,R00082,0
222,C00997_C01000,C01000,C00997,R00082,2
223,C00001_C01000,C01000,C00001,R00082,2
224,C00080_C00997,C00080,C00997,R00082,2
225,C00001_C00080,C00080,C00001,R00082,2
226,C00931_C01024,C00931,C01024,R00084,2
227,C00014_C00931,C00931,C00014,R00084,2
228,C00001_C01024,C00001,C01024,R00084,2
229,C00001_C00014,C00001,C00014,R00084,2
230,C00002_C00020,C00002,C00020,R00085,1
231,C00002_C00009,C00002,C00009,R00085,0
232,C00001_C00020,C00001,C00020,R00085,0
233,C00001_C00009,C00001,C00009,R00085,0
234,C00002_C00008,C00002,C00008,R00086,1
235,C00002_C00009,C00002,C00009,R00086,0
236,C00001_C00008,C00001,C00008,R00086,0
237,C00001_C00009,C00001,C00009,R00086,0
238,C00002_C00020,C00002,C00020,R00087,1
239,C00002_C00013,C00002,C00013,R00087,0
240,C00001_C00020,C00001,C00020,R00087,0
241,C00001_C00013,C00001,C00013,R00087,0
242,C00002_C00081,C00002,C00081,R00088,1
243,C00002_C00014,C00002,C00014,R00088,0
244,C00001_C00081,C00001,C00081,R00088,0
245,C00001_C00014,C00001,C00014,R00088,2
246,C00002_C00575,C00002,C00575,R00089,1
247,C00002_C00013,C00002,C00013,R00089,0
248,C00003_C00027,C00027,C00003,R00090,2
249,C00001_C00027,C00027,C00001,R00090,0
250,C00003_C00004,C00004,C00003,R00090,1
251,C00001_C00004,C00004,C00001,R00090,2
252,C00003_C00080,C00080,C00003,R00090,2
253,C00001_C00080,C00080,C00001,R00090,2
254,C00003_C02015,C00003,C02015,R00091,2
255,C00003_C00004,C00003,C00004,R00091,1
256,C00003_C00080,C00003,C00080,R00091,2
257,C00010_C02015,C00010,C02015,R00091,1
258,C00004_C00010,C00010,C00004,R00091,2
259,C00010_C00080,C00010,C00080,R00091,2
260,C00003_C00004,C00003,C00004,R00092,1
261,C00003_C14819,C00003,C14819,R00092,2
262,C00004_C14818,C14818,C00004,R00092,2
263,C14818_C14819,C14818,C14819,R00092,2
264,C00004_C00080,C00080,C00004,R00092,2
265,C00080_C14819,C00080,C14819,R00092,2
266,C00025_C00064,C00025,C00064,R00093,1
267,C00025_C00026,C00025,C00026,R00093,1
268,C00004_C00025,C00025,C00004,R00093,2
269,C00025_C00080,C00025,C00080,R00093,2
270,C00003_C00064,C00003,C00064,R00093,0
271,C00003_C00026,C00003,C00026,R00093,2
272,C00003_C00004,C00003,C00004,R00093,1
273,C00003_C00080,C00003,C00080,R00093,2
274,C00051_C00127,C00051,C00127,R00094,1
275,C00004_C00051,C00051,C00004,R00094,2
276,C00051_C00080,C00051,C00080,R00094,2
277,C00003_C00127,C00003,C00127,R00094,2
278,C00003_C00004,C00003,C00004,R00094,1
279,C00003_C00080,C00003,C00080,R00094,2
280,C00003_C00004,C00003,C00004,R00095,1
281,C00003_C01041,C00003,C01041,R00095,2
282,C00003_C00080,C00003,C00080,R00095,2
283,C00004_C00072,C00072,C00004,R00095,2
284,C00072_C01041,C00072,C01041,R00095,2
285,C00072_C00080,C00072,C00080,R00095,2
286,C00541_C00992,C00541,C00992,R00097,2
287,C00003_C00004,C00003,C00004,R00099,1
288,C00003_C00080,C00003,C00080,R00099,2
289,C00003_C00541,C00003,C00541,R00099,2
290,C00004_C00853,C00853,C00004,R00099,2
291,C00080_C00853,C00853,C00080,R00099,2
292,C00541_C00853,C00853,C00541,R00099,2
293,C00003_C00004,C00004,C00003,R00100,1
294,C00004_C00999,C00004,C00999,R00100,2
295,C00004_C00080,C00004,C00080,R00100,2
296,C00003_C00996,C00996,C00003,R00100,2
297,C00996_C00999,C00996,C00999,R00100,2
298,C00080_C00996,C00996,C00080,R00100,2
299,C00003_C00004,C00004,C00003,R00101,1
300,C00004_C02685,C00004,C02685,R00101,2
301,C00004_C00080,C00004,C00080,R00101,2
302,C00003_C02683,C02683,C00003,R00101,2
303,C02683_C02685,C02683,C02685,R00101,2
304,C00080_C02683,C02683,C00080,R00101,2
305,C00003_C00153,C00003,C00153,R00102,1
306,C00003_C00301,C00003,C00301,R00102,1
307,C00003_C00080,C00003,C00080,R00102,2
308,C00001_C00153,C00001,C00153,R00102,2
309,C00001_C00301,C00001,C00301,R00102,0
310,C00001_C00080,C00001,C00080,R00102,2
311,C00003_C00020,C00003,C00020,R00103,1
312,C00003_C00455,C00003,C00455,R00103,1
313,C00003_C00080,C00003,C00080,R00103,2
314,C00001_C00020,C00001,C00020,R00103,0
315,C00001_C00455,C00001,C00455,R00103,2
316,C00001_C00080,C00001,C00080,R00103,2
317,C00002_C00008,C00002,C00008,R00104,1
318,C00002_C00006,C00002,C00006,R00104,0
319,C00003_C00008,C00003,C00008,R00104,2
320,C00003_C00006,C00003,C00006,R00104,1
321,C00002_C00008,C00002,C00008,R00105,1
322,C00002_C00005,C00002,C00005,R00105,0
323,C00004_C00008,C00004,C00008,R00105,2
324,C00004_C00005,C00004,C00005,R00105,1
325,C00005_C00006,C00005,C00006,R00106,1
326,C00005_C00924,C00005,C00924,R00106,2
327,C00005_C00080,C00005,C00080,R00106,2
328,C00006_C00923,C00923,C00006,R00106,2
329,C00923_C00924,C00923,C00924,R00106,2
330,C00080_C00923,C00923,C00080,R00106,2
331,C00005_C00006,C00005,C00006,R00108,1
332,C00005_C01000,C00005,C01000,R00108,2
333,C00005_C00080,C00005,C00080,R00108,2
334,C00006_C00997,C00997,C00006,R00108,2
335,C00997_C01000,C00997,C01000,R00108,2
336,C00080_C00997,C00997,C00080,R00108,2
337,C00005_C00006,C00005,C00006,R00109,1
338,C00005_C02685,C00005,C02685,R00109,2
339,C00005_C00080,C00005,C00080,R00109,2
340,C00006_C02683,C02683,C00006,R00109,2
341,C02683_C02685,C02683,C02685,R00109,2
342,C00080_C02683,C02683,C00080,R00109,2
343,C00005_C00006,C00005,C00006,R00111,1
344,C00005_C00533,C00005,C00533,R00111,2
345,C00005_C00327,C00005,C00327,R00111,2
346,C00001_C00005,C00005,C00001,R00111,2
347,C00006_C05933,C05933,C00006,R00111,2
348,C00533_C05933,C05933,C00533,R00111,2
349,C00327_C05933,C05933,C00327,R00111,2
350,C00001_C05933,C05933,C00001,R00111,2
351,C00006_C00007,C00007,C00006,R00111,2
352,C00007_C00533,C00007,C00533,R00111,2
353,C00007_C00327,C00007,C00327,R00111,2
354,C00001_C00007,C00007,C00001,R00111,0
355,C00006_C00080,C00080,C00006,R00111,2
356,C00080_C00533,C00080,C00533,R00111,2
357,C00080_C00327,C00080,C00327,R00111,2
358,C00001_C00080,C00080,C00001,R00111,2
359,C00005_C00006,C00005,C00006,R00112,1
360,C00004_C00005,C00005,C00004,R00112,1
361,C00003_C00006,C00003,C00006,R00112,1
362,C00003_C00004,C00003,C00004,R00112,1
363,C00006_C00027,C00027,C00006,R00113,2
364,C00001_C00027,C00027,C00001,R00113,0
365,C00005_C00006,C00005,C00006,R00113,1
366,C00001_C00005,C00005,C00001,R00113,2
367,C00006_C00080,C00080,C00006,R00113,2
368,C00001_C00080,C00080,C00001,R00113,2
369,C00025_C00064,C00025,C00064,R00114,1
370,C00025_C00026,C00025,C00026,R00114,1
371,C00005_C00025,C00025,C00005,R00114,2
372,C00025_C00080,C00025,C00080,R00114,2
373,C00006_C00064,C00006,C00064,R00114,2
374,C00006_C00026,C00006,C00026,R00114,2
375,C00005_C00006,C00006,C00005,R00114,1
376,C00006_C00080,C00006,C00080,R00114,2
377,C00051_C00127,C00051,C00127,R00115,1
378,C00005_C00051,C00051,C00005,R00115,2
379,C00051_C00080,C00051,C00080,R00115,2
380,C00006_C00127,C00006,C00127,R00115,2
381,C00005_C00006,C00006,C00005,R00115,1
382,C00006_C00080,C00006,C00080,R00115,2
383,C00006_C00009,C00006,C00009,R00118,1
384,C00003_C00006,C00006,C00003,R00118,1
385,C00001_C00009,C00001,C00009,R00118,0
386,C00001_C00003,C00001,C00003,R00118,2
387,C00006_C00153,C00006,C00153,R00119,2
388,C00006_C13051,C00006,C13051,R00119,2
389,C00153_C00253,C00253,C00153,R00119,1
390,C00253_C13051,C00253,C13051,R00119,2
391,C00007_C00127,C00007,C00127,R00120,2
392,C00007_C00027,C00007,C00027,R00120,1
393,C00051_C00127,C00051,C00127,R00120,1
394,C00027_C00051,C00051,C00027,R00120,2
395,C00008_C00020,C00008,C00020,R00122,1
396,C00008_C00009,C00008,C00009,R00122,0
397,C00001_C00020,C00001,C00020,R00122,0
398,C00001_C00009,C00001,C00009,R00122,0
399,C00008_C00104,C00008,C00104,R00123,1
400,C00008_C00014,C00008,C00014,R00123,0
401,C00001_C00104,C00001,C00104,R00123,0
402,C00001_C00014,C00001,C00014,R00123,2
403,C00002_C00008,C00002,C00008,R00124,1
404,C00002_C00002,C00002,C00002,R00124,2
405,C00008_C00008,C00008,C00008,R00124,2
406,C00002_C00008,C00008,C00002,R00124,1
407,C00008_C01260,C01260,C00008,R00125,1
408,C00001_C00008,C00001,C00008,R00125,0
409,C00008_C00009,C00008,C00009,R00126,0
410,C00008_C01260,C00008,C01260,R00126,1
411,C00002_C00009,C00002,C00009,R00126,0
412,C00002_C01260,C00002,C01260,R00126,1
413,C00002_C00008,C00002,C00008,R00127,1
414,C00008_C00020,C00020,C00008,R00127,1
415,C00002_C03483,C03483,C00002,R00128,1
416,C00009_C03483,C03483,C00009,R00128,0
417,C00001_C00002,C00001,C00002,R00128,0
418,C00001_C00009,C00001,C00009,R00128,0
419,C00002_C00008,C00002,C00008,R00129,1
420,C00002_C00009,C00002,C00009,R00129,0
421,C00002_C00004,C00002,C00004,R00129,2
422,C00008_C04856,C04856,C00008,R00129,2
423,C00009_C04856,C04856,C00009,R00129,2
424,C00004_C04856,C04856,C00004,R00129,2
425,C00002_C00008,C00002,C00008,R00130,1
426,C00002_C00010,C00002,C00010,R00130,2
427,C00008_C00882,C00882,C00008,R00130,2
428,C00010_C00882,C00882,C00010,R00130,2
429,C00011_C00086,C00086,C00011,R00131,1
430,C00014_C00086,C00086,C00014,R00131,1
431,C00001_C00011,C00001,C00011,R00131,0
432,C00001_C00014,C00001,C00014,R00131,2
433,C00011_C01353,C01353,C00011,R00132,2
434,C00001_C01353,C01353,C00001,R00132,2
435,C00011_C00058,C00058,C00011,R00134,1
436,C00005_C00058,C00058,C00005,R00134,2
437,C00058_C00080,C00058,C00080,R00134,2
438,C00006_C00011,C00006,C00011,R00134,2
439,C00005_C00006,C00006,C00005,R00134,1
440,C00006_C00080,C00006,C00080,R00134,2
441,C00012_C00148,C00012,C00148,R00135,2
442,C00012_C00012,C00012,C00012,R00135,2
443,C00001_C00148,C00001,C00148,R00135,0
444,C00001_C00012,C00001,C00012,R00135,2
445,C00002_C00013,C00002,C00013,R00137,0
446,C00002_C00003,C00002,C00003,R00137,0
447,C00013_C00455,C00455,C00013,R00137,2
448,C00003_C00455,C00455,C00003,R00137,1
449,C00013_C00080,C00080,C00013,R00137,2
450,C00003_C00080,C00080,C00003,R00137,2
451,C00013_C00536,C00536,C00013,R00138,2
452,C00009_C00536,C00536,C00009,R00138,2
453,C00001_C00013,C00001,C00013,R00138,0
454,C00001_C00009,C00001,C00009,R00138,0
455,C11038_C11039,C11038,C11039,R00139,1
456,C00008_C11038,C11038,C00008,R00139,2
457,C00002_C11039,C00002,C11039,R00139,0
458,C00002_C00008,C00002,C00008,R00139,1
459,C03997_C11038,C11038,C03997,R00140,1
460,C00002_C11038,C11038,C00002,R00140,0
461,C00008_C03997,C00008,C03997,R00140,2
462,C00002_C00008,C00008,C00002,R00140,1
463,C00002_C00008,C00002,C00008,R00141,1
464,C00002_C02306,C00002,C02306,R00141,0
465,C00008_C00014,C00014,C00008,R00141,0
466,C00014_C02306,C00014,C02306,R00141,0
467,C00014_C00192,C00014,C00192,R00143,1
468,C00004_C00014,C00014,C00004,R00143,2
469,C00014_C00080,C00014,C00080,R00143,2
470,C00003_C00192,C00003,C00192,R00143,2
471,C00003_C00004,C00003,C00004,R00143,1
472,C00003_C00080,C00003,C00080,R00143,2
473,C00001_C00192,C00001,C00192,R00143,0
474,C00001_C00004,C00001,C00004,R00143,2
475,C00001_C00080,C00001,C00080,R00143,2
476,C00161_C05167,C05167,C00161,R00145,2
477,C00014_C05167,C05167,C00014,R00145,2
478,C00004_C05167,C05167,C00004,R00145,2
479,C00080_C05167,C05167,C00080,R00145,2
480,C00001_C00161,C00001,C00161,R00145,0
481,C00001_C00014,C00001,C00014,R00145,2
482,C00001_C00004,C00001,C00004,R00145,2
483,C00001_C00080,C00001,C00080,R00145,2
484,C00003_C00161,C00003,C00161,R00145,2
485,C00003_C00014,C00003,C00014,R00145,0
486,C00003_C00004,C00003,C00004,R00145,1
487,C00003_C00080,C00003,C00080,R00145,2
488,C00161_C05167,C05167,C00161,R00146,2
489,C00014_C05167,C05167,C00014,R00146,2
490,C00005_C05167,C05167,C00005,R00146,2
491,C00080_C05167,C05167,C00080,R00146,2
492,C00001_C00161,C00001,C00161,R00146,0
493,C00001_C00014,C00001,C00014,R00146,2
494,C00001_C00005,C00001,C00005,R00146,2
495,C00001_C00080,C00001,C00080,R00146,2
496,C00006_C00161,C00006,C00161,R00146,2
497,C00006_C00014,C00006,C00014,R00146,2
498,C00005_C00006,C00006,C00005,R00146,1
499,C00006_C00080,C00006,C00080,R00146,2
500,C00014_C00192,C00014,C00192,R00148,1
501,C00001_C00014,C00014,C00001,R00148,2
502,C00014_C00399,C00014,C00399,R00148,2
503,C00007_C00192,C00007,C00192,R00148,2
504,C00001_C00007,C00007,C00001,R00148,0
505,C00007_C00399,C00007,C00399,R00148,2
506,C00192_C00390,C00390,C00192,R00148,2
507,C00001_C00390,C00390,C00001,R00148,2
508,C00390_C00399,C00390,C00399,R00148,1
509,C00002_C00008,C00002,C00008,R00149,1
510,C00002_C00009,C00002,C00009,R00149,0
511,C00002_C00169,C00002,C00169,R00149,0
512,C00008_C00014,C00014,C00008,R00149,0
513,C00009_C00014,C00014,C00009,R00149,2
514,C00014_C00169,C00014,C00169,R00149,2
515,C00008_C00011,C00011,C00008,R00149,2
516,C00009_C00011,C00011,C00009,R00149,0
517,C00011_C00169,C00011,C00169,R00149,2
518,C00001_C00008,C00001,C00008,R00149,0
519,C00001_C00009,C00001,C00009,R00149,0
520,C00001_C00169,C00001,C00169,R00149,2
521,C00002_C00008,C00002,C00008,R00150,1
522,C00002_C00169,C00002,C00169,R00150,0
523,C00001_C00002,C00002,C00001,R00150,0
524,C00008_C00014,C00014,C00008,R00150,0
525,C00014_C00169,C00014,C00169,R00150,2
526,C00001_C00014,C00014,C00001,R00150,2
527,C00008_C00288,C00288,C00008,R00150,0
528,C00169_C00288,C00288,C00169,R00150,0
529,C00001_C00288,C00288,C00001,R00150,0
530,C00008_C00080,C00080,C00008,R00150,2
531,C00080_C00169,C00080,C00169,R00150,2
532,C00001_C00080,C00080,C00001,R00150,2
533,C00014_C01326,C01326,C00014,R00152,2
534,C00058_C01326,C01326,C00058,R00152,2
535,C00001_C00014,C00001,C00014,R00152,2
536,C00001_C00058,C00001,C00058,R00152,0
537,C00015_C00105,C00015,C00105,R00155,1
538,C00009_C00015,C00015,C00009,R00155,0
539,C00001_C00105,C00001,C00105,R00155,0
540,C00001_C00009,C00001,C00009,R00155,0
541,C00002_C00008,C00002,C00008,R00156,1
542,C00002_C00075,C00002,C00075,R00156,0
543,C00008_C00015,C00015,C00008,R00156,2
544,C00015_C00075,C00015,C00075,R00156,1
545,C00015_C00075,C00075,C00015,R00157,1
546,C00008_C00075,C00075,C00008,R00157,0
547,C00015_C00020,C00020,C00015,R00157,2
548,C00008_C00020,C00020,C00008,R00157,1
549,C00002_C00008,C00002,C00008,R00158,1
550,C00002_C00015,C00002,C00015,R00158,0
551,C00008_C00105,C00105,C00008,R00158,2
552,C00015_C00105,C00105,C00015,R00158,1
553,C00015_C00075,C00075,C00015,R00159,1
554,C00009_C00075,C00075,C00009,R00159,0
555,C00001_C00015,C00001,C00015,R00159,0
556,C00001_C00009,C00001,C00009,R00159,0
557,C00016_C00020,C00016,C00020,R00160,1
558,C00016_C00061,C00016,C00061,R00160,1
559,C00001_C00020,C00001,C00020,R00160,0
560,C00001_C00061,C00001,C00061,R00160,0
561,C00002_C00013,C00002,C00013,R00161,0
562,C00002_C00016,C00002,C00016,R00161,0
563,C00013_C00061,C00061,C00013,R00161,2
564,C00016_C00061,C00061,C00016,R00161,1
565,C00017_C00886,C00017,C00886,R00165,2
566,C00017_C02047,C00017,C02047,R00166,2
567,C00613_C02163,C02163,C00613,R00167,2
568,C00017_C02554,C00017,C02554,R00168,2
569,C00017_C02987,C00017,C02987,R00169,2
570,C00017_C03127,C00017,C03127,R00170,2
571,C00017_C05336,C00017,C05336,R00172,2
572,C00018_C00250,C00018,C00250,R00173,1
573,C00009_C00018,C00018,C00009,R00173,0
574,C00001_C00250,C00001,C00250,R00173,0
575,C00001_C00009,C00001,C00009,R00173,0
576,C00002_C00008,C00002,C00008,R00174,1
577,C00002_C00018,C00002,C00018,R00174,0
578,C00008_C00250,C00250,C00008,R00174,2
579,C00018_C00250,C00250,C00018,R00174,1
580,C00019_C00170,C00019,C00170,R00175,1
581,C00019_C00263,C00019,C00263,R00175,1
