,Pairs,source,target,Reaction,RPAIR_main
3320,C00001_C00080,C00001,C00080,R00794,2
3321,C00088_C00244,C00088,C00244,R00796,1
3322,C00005_C00088,C00088,C00005,R00796,2
3323,C00080_C00088,C00088,C00080,R00796,2
3324,C00006_C00244,C00006,C00244,R00796,2
3325,C00005_C00006,C00006,C00005,R00796,1
3326,C00006_C00080,C00006,C00080,R00796,2
3327,C00001_C00244,C00001,C00244,R00796,0
3328,C00001_C00005,C00001,C00005,R00796,2
3329,C00001_C00080,C00001,C00080,R00796,2
3330,C00088_C00244,C00088,C00244,R00798,1
3331,C00030_C00088,C00088,C00030,R00798,2
3332,C00028_C00244,C00028,C00244,R00798,2
3333,C00028_C00030,C00028,C00030,R00798,2
3334,C00001_C00244,C00001,C00244,R00798,0
3335,C00001_C00030,C00001,C00030,R00798,2
3336,C00088_C01837,C00088,C01837,R00799,2
3337,C00007_C00088,C00088,C00007,R00799,2
3338,C00001_C00088,C00088,C00001,R00799,0
3339,C00084_C01837,C00084,C01837,R00799,2
3340,C00007_C00084,C00084,C00007,R00799,2
3341,C00001_C00084,C00084,C00001,R00799,2
3342,C00027_C01837,C00027,C01837,R00799,2
3343,C00007_C00027,C00027,C00007,R00799,1
3344,C00001_C00027,C00027,C00001,R00799,0
3345,C00088_C00244,C00088,C00244,R00800,1
3346,C00007_C00244,C00007,C00244,R00800,2
3347,C00089_C00095,C00089,C00095,R00801,1
3348,C00031_C00089,C00089,C00031,R00801,2
3349,C00001_C00095,C00001,C00095,R00801,0
3350,C00001_C00031,C00001,C00031,R00801,0
3351,C00089_C02336,C00089,C02336,R00802,2
3352,C00089_C00267,C00089,C00267,R00802,2
3353,C00001_C02336,C00001,C02336,R00802,2
3354,C00001_C00267,C00001,C00267,R00802,2
3355,C00089_C00095,C00089,C00095,R00803,1
3356,C00089_C00103,C00089,C00103,R00803,2
3357,C00009_C00095,C00009,C00095,R00803,2
3358,C00009_C00103,C00009,C00103,R00803,2
3359,C00089_C02591,C02591,C00089,R00805,1
3360,C00009_C02591,C02591,C00009,R00805,0
3361,C00001_C00089,C00001,C00089,R00805,0
3362,C00001_C00009,C00001,C00009,R00805,0
3363,C00015_C00029,C00029,C00015,R00806,1
3364,C00029_C00089,C00029,C00089,R00806,1
3365,C00015_C00095,C00095,C00015,R00806,2
3366,C00089_C00095,C00095,C00089,R00806,1
3367,C00089_C05731,C00089,C05731,R00807,1
3368,C00089_C01352,C00089,C01352,R00807,2
3369,C00016_C05731,C00016,C05731,R00807,2
3370,C00016_C01352,C00016,C01352,R00807,1
3371,C00089_C05731,C00089,C05731,R00808,1
3372,C00030_C00089,C00089,C00030,R00808,2
3373,C00028_C05731,C00028,C05731,R00808,2
3374,C00028_C00030,C00028,C00030,R00808,2
3375,C00015_C00052,C00052,C00015,R00809,2
3376,C00052_C03848,C00052,C03848,R00809,2
3377,C00015_C00089,C00089,C00015,R00809,2
3378,C00089_C03848,C00089,C03848,R00809,1
3379,C00089_C01742,C00089,C01742,R00810,2
3380,C00089_C16688,C00089,C16688,R00811,2
3381,C00089_C00615,C00089,C00615,R00811,2
3382,C04261_C16688,C04261,C16688,R00811,2
3383,C00615_C04261,C04261,C00615,R00811,2
3384,C00090_C04091,C04091,C00090,R00812,2
3385,C00004_C04091,C04091,C00004,R00812,2
3386,C00080_C04091,C04091,C00080,R00812,2
3387,C00003_C00090,C00003,C00090,R00812,2
3388,C00003_C00004,C00003,C00004,R00812,1
3389,C00003_C00080,C00003,C00080,R00812,2
3390,C00090_C06321,C06321,C00090,R00813,2
3391,C00004_C06321,C06321,C00004,R00813,2
3392,C00011_C06321,C06321,C00011,R00813,2
3393,C00080_C06321,C06321,C00080,R00813,2
3394,C00003_C00090,C00003,C00090,R00813,2
3395,C00003_C00004,C00003,C00004,R00813,1
3396,C00003_C00011,C00003,C00011,R00813,2
3397,C00003_C00080,C00003,C00080,R00813,2
3398,C00090_C04221,C04221,C00090,R00814,2
3399,C00005_C04221,C04221,C00005,R00814,2
3400,C00080_C04221,C04221,C00080,R00814,2
3401,C00006_C00090,C00006,C00090,R00814,2
3402,C00005_C00006,C00006,C00005,R00814,1
3403,C00006_C00080,C00006,C00080,R00814,2
3404,C00090_C00146,C00146,C00090,R00815,1
3405,C00006_C00146,C00146,C00006,R00815,2
3406,C00001_C00146,C00146,C00001,R00815,0
3407,C00007_C00090,C00007,C00090,R00815,0
3408,C00006_C00007,C00007,C00006,R00815,2
3409,C00001_C00007,C00007,C00001,R00815,0
3410,C00005_C00090,C00005,C00090,R00815,2
3411,C00005_C00006,C00005,C00006,R00815,1
3412,C00001_C00005,C00005,C00001,R00815,2
3413,C00080_C00090,C00080,C00090,R00815,2
3414,C00006_C00080,C00080,C00006,R00815,2
3415,C00001_C00080,C00080,C00001,R00815,2
3416,C00090_C00682,C00090,C00682,R00816,1
3417,C00007_C00682,C00007,C00682,R00816,0
3418,C00090_C02480,C00090,C02480,R00817,1
3419,C00007_C02480,C00007,C02480,R00817,0
3420,C00090_C00805,C00805,C00090,R00818,1
3421,C00011_C00805,C00805,C00011,R00818,0
3422,C00003_C00805,C00805,C00003,R00818,2
3423,C00001_C00805,C00805,C00001,R00818,0
3424,C00007_C00090,C00007,C00090,R00818,0
3425,C00007_C00011,C00007,C00011,R00818,0
3426,C00003_C00007,C00007,C00003,R00818,2
3427,C00001_C00007,C00007,C00001,R00818,0
3428,C00004_C00090,C00004,C00090,R00818,2
3429,C00004_C00011,C00004,C00011,R00818,2
3430,C00003_C00004,C00004,C00003,R00818,1
3431,C00001_C00004,C00004,C00001,R00818,2
3432,C00080_C00090,C00080,C00090,R00818,2
3433,C00011_C00080,C00080,C00011,R00818,2
3434,C00003_C00080,C00080,C00003,R00818,2
3435,C00001_C00080,C00080,C00001,R00818,2
3436,C00090_C00196,C00196,C00090,R00821,1
3437,C00011_C00196,C00196,C00011,R00821,0
3438,C00090_C00230,C00230,C00090,R00822,1
3439,C00011_C00230,C00230,C00011,R00822,0
3440,C00090_C00108,C00108,C00090,R00823,2
3441,C00014_C00108,C00108,C00014,R00823,0
3442,C00011_C00108,C00108,C00011,R00823,0
3443,C00003_C00108,C00108,C00003,R00823,2
3444,C00007_C00090,C00007,C00090,R00823,0
3445,C00007_C00014,C00007,C00014,R00823,2
3446,C00007_C00011,C00007,C00011,R00823,0
3447,C00003_C00007,C00007,C00003,R00823,2
3448,C00004_C00090,C00004,C00090,R00823,2
