Entry,Name,Formula,Exact mass,Mol weight,Structure Url,Canonical SMILES,AddHs SMILES,Reaction Number,Pathway Number,Module Number,Enzyme Class Number,PubChem Id,ChEBI Id,Reference,Family
C04253,Electron-transferring flavoprotein,,,,,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C,,21,,,,6918,[],"""""",Double
C04570,Reduced electron-transferring flavoprotein,,,,,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]1O)c1[nH]c(=O)[nH]c(=O)c1N2,,21,,,,7171,[],"""""",Double
C02745,Reduced flavodoxin,,,,,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1[nH]c(=O)[nH]c(=O)c1N2,,12,,,,5705,[],"""""",Double
C02869,Oxidized flavodoxin,,,,,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C,,12,,,,5805,[],"""""",Double
C22150,Reduced [2Fe-2S] ferredoxin,,,,,S1[Fe]S[Fe+]1,,10,,,,405226341,[],"""""",Double
C22151,Oxidized [2Fe-2S] ferredoxin,,,,,S1[Fe+]S[Fe+]1,,10,,,,405226342,[],"""""",Double
C06020,Methyl-Co(III) corrinoid protein,,,,,*/C1=C2/N=C(/C(*)=C3\N=C(/C(*)=C4\N([Co+]C)C(*)(C(*)(*)C4(*)*)C4(*)N=C1C(*)(*)C4(*)*)C(*)(*)C3(*)*)C(*)(*)C2(*)*,,11,,,,8292,[],"""""",Double
C06021,Co(I) corrinoid protein,,,,,*/C1=C2/N=C(/C(*)=C3\N=C(/C(*)=C4\N([Co])C(*)(C(*)(*)C4(*)*)C4(*)N=C1C(*)(*)C4(*)*)C(*)(*)C3(*)*)C(*)(*)C2(*)*,,11,,,,8293,"[""33913""]","""""",Double
C00615,Protein histidine,,,,,*NC(=O)[C@H](Cc1c[nH]cn1)NC(*)=O,,35,,,,3889,[],"""""",Double
C04261,Protein N(pi)-phospho-L-histidine,,,,,*NC(=O)[C@H](Cc1cncn1P(=O)(O)O)NC(*)=O,,31,,,,6926,[],"""""",Double
C00390,Ubiquinol,,,,,COc1c(O)c(C)c(C/C=C(\C)CCC=C(C)C)c(O)c1OC,,17,,,,3680,"[""17976""]","""""",Double
C00399,Ubiquinone,,,,,COC1=C(OC)C(=O)C(C/C=C(\C)CCC=C(C)C)=C(C)C1=O,,16,,,,3689,"[""16389""]","""""",Double
