Entry,Name,Formula,Exact mass,Mol weight,Structure Url,Canonical SMILES,AddHs SMILES,Reaction Number,Pathway Number,Module Number,Enzyme Class Number,PubChem Id,ChEBI Id,Reference,Family
C00075,UTP,,,,,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,,27,,,,3375,"[""15713""]","""""",Single
C00015,UDP,,,,,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,,376,,,,3317,"[""17659""]","""""",Single
C00105,UMP,,,,,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,,36,,,,3405,"[""16695""]","""""",Single
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
C00010,CoA,,,,,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS,,626,,,,3312,"[""15346""]","""""",Single
C00051,Glutathione,,,,,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,,90,,,,3353,"[""16856""]","""""",Single
C00058,Formate,,,,,O=CO,,89,,,,3358,"[""15740"", ""30751""]","""""",Single
C00067,Formaldehyde,,,,,C=O,,93,,,,3367,"[""16842""]","""""",Single
C00132,Methanol,,,,,CO,,41,,,,3432,"[""17790""]","""""",Single
C00229,Acyl-carrier protein,,,,,*S,,86,,,,3528,"[""18359""]","""""",Single
C00218,Methylamine,,,,,CN,,24,,,,3518,"[""16830""]","""""",Single
C00543,Dimethylamine,,,,,CNC,,11,,,,3824,"[""17170""]","""""",Single
C00409,Methanethiol,,,,,CS,,11,,,,3699,"[""16007""]","""""",Single
C00797,Ethylamine,,,,,CCN,,5,,,,4055,"[""15862""]","""""",Single
C00488,Formamide,,,,,NC=O,,3,,,,3771,"[""16397""]","""""",Single
C01417,Cyanate,,,,,N#CO,,3,,,,4604,"[""28024"", ""29195""]","""""",Single
C00032,Heme,,,,,C=CC1=C(C)/C2=C/c3c(C=C)c(C)c4n3[Fe]n3/c(c(C)c(CCC(=O)O)/c3=C/C3=N/C(=C\4)C(C)=C3CCC(=O)O)=C\C1=N2,,20,,,,3334,"[""17627"", ""26355"", ""30413""]","""""",Single
C00039,DNA,,,,,*[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O[C@H]2C[C@H](*)O[C@@H]2COP(=O)(O)O[C@H]2C[C@H](*)O[C@@H]2CO)O1,,10,,,,3341,"[""16991""]","""""",Single
C00046,RNA,,,,,*[C@@H]1O[C@H](COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O)[C@@H](O)[C@H]1O,,12,,,,3348,[],"""""",Single
C21097,Peptidyl-carrier protein,,,,,*S,,15,,,,310920478,[],"""""",Single
C00017,Protein,,,,,*[C@H](N)C(=O)N[C@@H](*)C(=O)O,,13,,,,3319,"[""16541""]","""""",Single
C00012,Peptide,,,,,*C(N)C(=O)NC(*)C(=O)O,,7,,,,3314,"[""16670""]","""""",Single
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
C00038,Zinc cation,,,,,[Zn+2],,0,,,,3340,"[""27363"", ""29105""]","""""",Single
C00070,Copper,,,,,[Cu],,0,,,,3370,"[""28694""]","""""",Single
C00076,Calcium cation,,,,,[Ca+2],,0,,,,3376,"[""22984"", ""29108""]","""""",Single
C00175,Cobalt ion,,,,,[Co+2],,2,,,,3475,"[""27638"", ""48828""]","""""",Single
C00238,Potassium cation,,,,,[K+],,0,,,,3537,"[""26216"", ""29103""]","""""",Single
C00291,Nickel,,,,,[Ni],,0,,,,3585,"[""28112""]","""""",Single
C00305,Magnesium cation,,,,,[Mg+2],,4,,,,3599,"[""18420"", ""25107""]","""""",Single
C00703,Mercury(2+),,,,,[Hg+2],,3,,,,3970,"[""16793""]","""""",Single
C01319,Hg,,,,,[Hg],,1,,,,4533,"[""16170""]","""""",Single
C01330,Sodium cation,,,,,[Na+],,3,,,,4541,"[""26708"", ""29101""]","""""",Single
C01413,Cadmium,,,,,[Cd],,0,,,,4601,"[""22977"", ""48775""]","""""",Single
C06268,Chromium,,,,,[Cr],,0,,,,8506,"[""28073""]","""""",Single
C06710,Silver,,,,,[Ag],,0,,,,8935,"[""9141""]","""""",Single
C13881,Barium cation,,,,,[Ba+2],,0,,,,854126,"[""37136""]","""""",Single
C14818,Fe2+,,,,,[Fe+2],,21,,,,17395816,"[""29033""]","""""",Single
C14819,Fe3+,,,,,[Fe+3],,7,,,,17395817,"[""29034""]","""""",Single
C19161,Chromium (VI),,,,,[Cr+6],,0,,,,124489833,"[""33007""]","""""",Single
C19368,Chromium (III),,,,,[Cr+3],,0,,,,124490040,"[""49544""]","""""",Single
C19609,Nickel(2+),,,,,[Ni+2],,2,,,,124490278,[],"""""",Single
C19610,Manganese(2+),,,,,[Mn+2],,3,,,,124490279,[],"""""",Single
C19611,Manganese(3+),,,,,[Mn+3],,3,,,,124490280,[],"""""",Single
C20294,Chromium (V),,,,,[Cr+5],,0,,,,163312034,[],"""""",Single
C20295,Chromium (IV),,,,,[Cr+4],,0,,,,163312035,[],"""""",Single
C19171,Cobalt,,,,,[Co],,0,,,,124489843,"[""27638""]","""""",Single
C21744,Mn(IV)O2,,,,,O=[Mn]=O,,2,,,,350078321,[],"""""",Single
C00023,Iron,,,,,[Fe],,0,,,,3325,"[""18248""]","""""",Single
C00034,Manganese,,,,,[Mn],,0,,,,3336,"[""18291""]","""""",Single
C00150,Molybdenum,,,,,[Mo],,0,,,,3450,"[""28685""]","""""",Single
