Reaction,Equation
R1,C00152 + cpd27222 --> C00049 + cpd19013
R2,C00049 + cpd00024 --> cpd00032 + cpd27177
R3,cpd00130 + cpd22528 --> cpd00022 + cpd27222 + cpd00040
R4,2 cpd00022 --> cpd22528 + C00332
R5,C01144 + cpd00003 --> C00332 + cpd00004 + cpd00067
R6,C01144 --> C00877 + cpd27222
R7,C00136 + cpd00003 --> C00877 + cpd00004 + cpd00067
R8,C01412 + cpd22528 + cpd00003 --> C00136 + cpd00004 + cpd00067
R9,C01412 + cpd00004 + cpd00067 --> C06142 + cpd00003
