Reaction,Equation
R1,cpd00002 + cpd00137 + cpd22528 --> cpd00008 + cpd27787 + C00566
R2,C00566 --> cpd00022 + cpd00032
R3,2 cpd00022 --> cpd22528 + C00332
R4,C01144 + cpd00003 --> C00332 + cpd00004 + cpd00067
R5,C01144 --> C00877 + cpd27222
R6,C00136 + cpd00003 --> C00877 + cpd00004 + cpd00067
R7,C01412 + cpd22528 + cpd00003 --> C00136 + cpd00004 + cpd00067
R8,C01412 + cpd00004 + cpd00067 --> C06142 + cpd00003
