Reaction,Equation
R1,C01213 --> C00683
R2,C01213 --> cpd00078
R3,C18323 + cpd27222 --> C01011
R4,C06028 --> C18323
R5,C20238 --> C18324
R6,C18026 --> C20238
R7,C18026 --> C00136 + cpd00011
R8,C01412 + cpd22528 + cpd00003 --> C00136 + cpd00004 + cpd00067
R9,C01412 + cpd00004 + cpd00067 --> C06142 + cpd00003
