Reaction,Equation
R1,dhap_c + accoa_c --> C20960 + coa_c
R2,dhap_c + accoa_c --> C20960 + coa_c
R3,2 accoa_c --> coa_c + C00332
R4,C01144 + nad_c <-- C00332 + nadh_c + h_c
R5,C01144 --> C00877 + h2o_c
R6,C00136 + nad_c <-- C00877 + nadh_c + h_c
R7,C01412 + coa_c + nad_c <-- C00136 + nadh_c + h_c
R8,C01412 + nadh_c + h_c --> C06142 + nad_c
