Reaction,Equation
R1,2 accoa_c --> coa_c + C00332
R2,C01144 + nad_c <-- C00332 + nadh_c + h_c
R3,C01144 --> C00877 + h2o_c
R4,C00136 + nad_c <-- C00877 + nadh_c + h_c
R5,C01412 + coa_c + nad_c <-- C00136 + nadh_c + h_c
R6,C01412 + nadh_c + h_c --> C06142 + nad_c
