Reaction,Equation
R1,C01213 --> C00683
R2,C01213 --> succoa_c
R3,C18323 + h2o_c --> C01011
R4,C06028 --> C18323
R5,C20238 --> C18324
R6,C18026 --> C20238
R7,C18026 --> C00136 + co2_c
R8,C01412 + coa_c + nad_c --> C00136 + nadh_c + h_c
R9,C01412 + nadh_c + h_c --> C06142 + nad_c
